Date : 2022-04-19 22:59:20
Directory : ./
Total : 109 files,  31085 codes, 83 comments, 827 blanks, all 31995 lines, 0.27% comment rate

Languages
+------------------+------------+------------+------------+------------+------------+--------------+
| language         | files      | code       | comment    | blank      | total      | comment rate |
| backend\app\common\errors\camera.py                    | Python           |          4 |          0 |          1 |          5 |        0.00% |
| backend\app\common\errors\file.py                      | Python           |          8 |          0 |          3 |         11 |        0.00% |
| backend\app\common\helpers\__init__.py                 | Python           |          0 |          0 |          1 |          1 |        0.00% |
| backend\app\common\helpers\json.py                     | Python           |         21 |          0 |          7 |         28 |        0.00% |
| backend\app\common\helpers\math.py                     | Python           |          7 |          0 |          5 |         12 |        0.00% |
| backend\app\common\helpers\pointcloud.py               | Python           |        181 |          0 |         89 |        270 |        0.00% |
| backend\app\common\helpers\time.py                     | Python           |         15 |          0 |          4 |         19 |        0.00% |
| backend\app\common\validators\__init__.py              | Python           |          0 |          0 |          1 |          1 |        0.00% |
| backend\app\common\validators\angle.py                 | Python           |          9 |          0 |          6 |         15 |        0.00% |
| backend\app\common\validators\depth.py                 | Python           |          8 |          0 |          6 |         14 |        0.00% |
| backend\app\crud\__init__.py                           | Python           |          0 |          0 |          1 |          1 |        0.00% |
| backend\app\crud\plc.py                                | Python           |         23 |          0 |          7 |         30 |        0.00% |
| backend\app\crud\plc_block.py                          | Python           |         27 |          0 |          7 |         34 |        0.00% |
| backend\app\crud\position.py                           | Python           |         27 |          0 |          7 |         34 |        0.00% |
| backend\app\crud\product.py                            | Python           |         32 |          0 |          8 |         40 |        0.00% |
| backend\app\crud\region.py                             | Python           |         27 |          0 |          7 |         34 |        0.00% |
| backend\app\crud\setting.py                            | Python           |         38 |          0 |          9 |         47 |        0.00% |
| backend\app\database\__init__.py                       | Python           |          0 |          0 |          1 |          1 |        0.00% |
| backend\app\database\seeder.py                         | Python           |        245 |          0 |         15 |        260 |        0.00% |
| backend\app\database\session.py                        | Python           |         15 |          0 |         10 |         25 |        0.00% |
| backend\app\enums\__init__.py                          | Python           |          0 |          0 |          1 |          1 |        0.00% |
| backend\app\enums\base.py                              | Python           |          4 |          0 |          3 |          7 |        0.00% |
| backend\app\enums\plc_block.py                         | Python           |         41 |          0 |         12 |         53 |        0.00% |
| backend\app\enums\product.py                           | Python           |         13 |          0 |          7 |         20 |        0.00% |
| backend\app\enums\region.py                            | Python           |          7 |          0 |          3 |         10 |        0.00% |
